County,State Well Number,Aquifer,Aquifer Type,Entity/Cooperator,Data Transmission,Latest Transmission Date,Daily High Water Level(feet below land surface),Latitude,Longitude,Status
Kerr,5663924,Trinity,Confined,Headwaters GCD,Satellite,1/23/2018,256.16,,,Active
Kerr,5664301,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,431.42,,,Active
Kerr,5664302,Edwards-Trinity Plateau,Unconfined,Headwaters GCD,Satellite,1/24/2018,76.31,,,Active
Kerr,5757805,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,435.24,,,Active
Kerr,6801703,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,230.21,,,Active
Kerr,6801704,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,270.22,,,Active
Kerr,6904503,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,698.94,,,Active
Kerr,6907107,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,334.05,,,Active
Kerr,6908304,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,283.71,,,Active
Kerr,6908305,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,291.01,,,Active
Kerr,6908513,Trinity,Confined,Headwaters GCD,Satellite,1/24/2018,227.08,,,Active
Kinney,7038902,Edwards (Balcones Fault Zone),Unconfined,Texas Water Development Board,Satellite,1/24/2018,186.41,,,Active
Kleberg,8326701,Gulf Coast,Unconfined,Texas Water Development Board,Satellite,1/24/2018,242.74,,,Active
La Salle,7738103,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,481.98,,,Active
Lamb,1053602,Ogallala,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,148.24,,,Active
Live Oak,7950106,Gulf Coast,Unconfined,Bee GCD,Satellite,1/24/2018,129.09,,,Active
Martin,2739903,Ogallala,Unconfined,Texas Water Development Board,Satellite,1/24/2018,143.77,,,Active
Mason,5606613,Hickory,Unconfined,Texas Water Development Board,Satellite,1/24/2018,69.3,,,Active
McCulloch,5606614,Hickory,Confined,Texas Water Development Board,Satellite,1/24/2018,139.9,,,Active
McLennan,4039204,Trinity,Confined,Texas Water Development Board,Satellite,1/24/2018,827.5,,,Active
Milam,5911621,Carrizo-Wilcox,Confined,Texas Water Development Board,Satellite,1/24/2018,46.82,,,Active
Montgomery,6035503,Gulf Coast,Unconfined,U.S. Geological Survey 1,Satellite,1/24/2018,14.54,,,Active
