latitude,longitude,altitude,geometry,aquifer,aquifer_type,county,entity,status,well_number
32.198333,-98.180554,,Point,Trinity,Unconfined,Erath,Texas Water Development Board,Active,3155504
31.869999,-106.414722,,Point,Hueco-Mesilla Bolson,Unconfined,El Paso,Texas Water Development Board,Active,4913301
27.758333,-98.241388,,Point,Gulf Coast,Unconfined,Duval,Texas Water Development Board,Active,8415702
34.895555,-102.527777,,Point,Ogallala,Unconfined,Deaf Smith,Texas Water Development Board,Active,1004901
32.574999,-101.881388,,Point,Ogallala,Unconfined,Dawson,Texas Water Development Board,Active,2825604
32.725277,-101.984444,,Point,Ogallala,Unconfined,Dawson,Texas Water Development Board,Inactive,2817119
32.588333,-96.956944,,Point,Trinity,Confined,Dallas,Texas Water Development Board,Active,3325202
32.746388,-96.750277,,Point,Trinity,Confined,Dallas,Texas Water Development Board,Active,3319101
31.124166,-104.73777700000001,,Point,Other,Unconfined,Culberson,Texas Water Development Board,Active,4759123
33.587777,-101.341666,,Point,Ogallala,Unconfined,Crosby,Texas Water Development Board,Active,2330103
30.713054999999997,-101.21305500000001,,Point,Edwards-Trinity Plateau,Unconfined,Crockett,Texas Water Development Board,Active,5423106
31.198055,-97.91,,Point,Trinity,Unconfined,Coryell,Texas Water Development Board,Active,4049601
31.432221000000002,-97.73083199999999,,Point,Trinity,Confined,Coryell,Texas Water Development Board,Active,4035404
31.618888000000002,-97.799166,,Point,Trinity,Confined,Coryell,Texas Water Development Board,Active,4026201
